Timestamp,[Admin only] Participant ID,[Admin only] Method Type (A/B),[Admin only] Task (0/1/2/3),Age,Gender,Do you have a technical background?,The robot accomplished the task in the way I wanted.,The robot was NOT able to complete the task correctly.,I felt the robot understood how I wanted the task done.,I felt the robot did NOT know how I wanted the task done.,The robot wrongly updated its understanding about aspects of the task I did not want to change.,I had to undo corrections that I gave the robot.,"[Only for tasks 2 and 4] After I adjusted the robot, it continued to do the other parts of the task correctly.","[Only for tasks 2 and 4] After I adjusted the robot, it incorrectly updated parts of the task that were already correct. ",Any overall comments?
2018/06/10 3:44:34 PM MDT,2,A,3,18-24,Male,Yes,5,3,4,4,5,3,5,3,
2018/06/10 5:17:09 PM MDT,3,B,0,25-34,Male,Yes,5,3,4,4,2,1,,,
2018/06/10 5:21:13 PM MDT,3,A,0,25-34,Male,Yes,5,3,3,5,5,5,,,
2018/06/10 5:26:27 PM MDT,3,B,1,25-34,Male,Yes,2,6,1,7,4,5,3,5,
2018/06/10 5:32:51 PM MDT,3,A,1,25-34,Male,Yes,1,7,2,6,5,5,3,4,It was hard to twist the robot's hand to the correct angle.
2018/06/10 5:37:07 PM MDT,3,B,2,25-34,Male,Yes,6,2,6,2,2,2,6,1,
2018/06/10 5:40:27 PM MDT,3,A,2,25-34,Male,Yes,5,3,3,5,4,3,,,
2018/06/10 5:44:38 PM MDT,3,B,3,25-34,Male,Yes,1,6,2,5,5,5,2,5,
2018/06/10 5:48:02 PM MDT,3,A,3,25-34,Male,Yes,1,6,2,6,3,4,3,4,
2018/06/10 6:26:38 PM MDT,4,A,0,25-34,Female,No,6,1,5,2,1,1,,,
2018/06/10 6:31:17 PM MDT,4,B,0,25-34,Female,No,6,1,5,2,1,1,,,
2018/06/10 6:37:53 PM MDT,4,A,1,25-34,Female,No,5,2,4,5,6,2,2,6,
2018/06/10 6:42:19 PM MDT,4,B,1,25-34,Female,No,3,6,1,7,1,1,7,1,
2018/06/10 6:47:37 PM MDT,4,A,2,25-34,Female,No,7,1,7,1,1,1,,,
2018/06/10 6:51:45 PM MDT,4,B,2,25-34,Female,No,7,1,7,1,1,1,,,
2018/06/10 7:02:42 PM MDT,4,A,3,25-34,Female,No,5,2,2,6,3,1,6,5,
2018/06/10 7:06:16 PM MDT,4,B,3,25-34,Female,No,5,3,2,6,1,1,7,1,
2018/06/10 10:16:27 PM MDT,5,A,0,25-34,Female,Yes,6,2,6,2,3,6,,,
2018/06/10 10:19:58 PM MDT,5,B,0,25-34,Female,Yes,6,2,3,5,3,5,,,
2018/06/10 10:27:59 PM MDT,5,A,1,25-34,Female,Yes,6,3,6,3,2,3,6,2,
2018/06/10 10:31:07 PM MDT,5,B,1,25-34,Female,Yes,7,1,6,2,1,1,7,1,
2018/06/10 10:38:14 PM MDT,5,A,2,25-34,Female,Yes,7,1,7,1,1,2,,,
2018/06/10 10:42:07 PM MDT,5,B,2,25-34,Female,Yes,7,1,7,1,1,1,,,
2018/06/10 10:47:06 PM MDT,5,A,3,25-34,Female,Yes,1,7,1,7,2,2,6,2,
2018/06/10 10:50:59 PM MDT,5,B,3,25-34,Female,Yes,1,7,1,7,2,2,6,1,
2018/06/11 11:17:40 AM MDT,6,A,0,25-34,Female,Yes,4,4,5,5,4,5,,,
2018/06/11 11:21:56 AM MDT,6,B,0,25-34,Female,Yes,3,3,5,4,4,5,,,It did feel a little more rigid.. and jittery..
2018/06/11 11:31:22 AM MDT,6,A,1,25-34,Female,Yes,2,6,2,6,6,7,3,5,
2018/06/11 11:36:37 AM MDT,6,B,1,25-34,Female,Yes,5,3,5,3,1,1,7,1,
2018/06/11 11:40:50 AM MDT,6,A,2,25-34,Female,Yes,7,1,7,1,3,1,,,
2018/06/11 11:44:46 AM MDT,6,B,2,25-34,Female,Yes,7,1,7,1,2,1,,,
2018/06/11 11:48:53 AM MDT,6,A,3,25-34,Female,Yes,1,7,1,7,7,7,2,6,the robot is strong
2018/06/11 11:51:57 AM MDT,6,B,3,25-34,Female,Yes,2,6,1,7,5,5,4,4,
2018/06/11 12:13:31 PM MDT,7,B,0,18-24,Male,Yes,5,1,5,3,3,1,,,
2018/06/11 12:17:26 PM MDT,7,A,0,18-24,Male,Yes,4,3,2,5,2,2,,,
2018/06/11 12:22:27 PM MDT,7,B,1,18-24,Male,Yes,3,3,3,5,4,3,6,2,
2018/06/11 12:25:58 PM MDT,7,A,1,18-24,Male,Yes,3,4,2,6,7,4,2,6,
2018/06/11 12:31:04 PM MDT,7,B,2,18-24,Male,Yes,6,2,5,3,1,1,,,
2018/06/11 12:34:25 PM MDT,7,A,2,18-24,Male,Yes,5,2,2,6,1,1,,,
2018/06/11 12:39:41 PM MDT,7,B,3,18-24,Male,Yes,3,4,3,5,7,4,2,6,
2018/06/11 12:42:45 PM MDT,7,A,3,18-24,Male,Yes,2,6,2,6,7,4,1,7,
2018/06/11 3:16:18 PM MDT,8,A,0,25-34,Male,Yes,6,2,5,2,2,2,,,
2018/06/11 3:20:01 PM MDT,8,B,0,25-34,Male,Yes,4,2,4,3,3,1,,,The robot seemed to over correct in height
2018/06/11 3:24:42 PM MDT,8,A,1,25-34,Male,Yes,2,5,2,5,5,5,2,5,
2018/06/11 3:27:37 PM MDT,8,B,1,25-34,Male,Yes,2,5,2,5,4,3,2,6,
2018/06/11 3:32:23 PM MDT,8,A,2,25-34,Male,Yes,5,2,4,3,3,2,,,
2018/06/11 3:36:38 PM MDT,8,B,2,25-34,Male,Yes,3,3,4,3,5,3,,,
2018/06/11 3:41:13 PM MDT,8,A,3,25-34,Male,Yes,2,3,2,5,5,3,3,4,
2018/06/11 3:44:19 PM MDT,8,B,3,25-34,Male,Yes,1,7,2,6,3,2,4,3,It didn't seem to adapt to my feedback
2018/06/11 4:08:46 PM MDT,9,A,0,18-24,Male,Yes,6,2,6,2,2,1,,,That was easy
2018/06/11 4:12:01 PM MDT,9,B,0,18-24,Male,Yes,5,3,5,3,4,2,,,The robot seemed more shaky
2018/06/11 4:17:00 PM MDT,9,A,1,18-24,Male,Yes,3,3,3,5,5,4,3,5,It felt rather stubborn/stiff
2018/06/11 4:20:54 PM MDT,9,B,1,18-24,Male,Yes,3,5,1,7,5,3,5,3,
2018/06/11 4:25:49 PM MDT,9,A,2,18-24,Male,Yes,7,1,6,2,1,3,7,1,Pretty easy again
2018/06/11 4:29:16 PM MDT,9,B,2,18-24,Male,Yes,6,2,5,2,4,3,,,"I had to ""fight"" with the robot more"
2018/06/11 4:35:27 PM MDT,9,A,3,18-24,Male,Yes,2,3,2,6,6,5,2,5,It was hard trying to get the robot to not shake
2018/06/11 4:38:22 PM MDT,9,B,3,18-24,Male,Yes,6,2,2,6,3,3,6,2,At least I only had to worry about the hand rotation
2018/06/11 5:16:47 PM MDT,10,A,0,18-24,Male,Yes,7,1,5,2,2,1,4,,
2018/06/11 5:20:34 PM MDT,10,B,0,18-24,Male,Yes,7,2,6,2,1,2,,,Feels the same as method one.
2018/06/11 5:29:05 PM MDT,10,A,1,18-24,Male,Yes,5,3,5,3,1,1,1,5,
2018/06/11 5:32:26 PM MDT,10,B,1,18-24,Male,Yes,5,3,1,7,7,7,1,7,
2018/06/11 5:37:14 PM MDT,10,A,2,18-24,Male,Yes,7,1,7,1,1,1,,,
2018/06/11 5:40:34 PM MDT,10,B,2,18-24,Male,Yes,7,1,7,1,1,1,,,
2018/06/11 5:45:28 PM MDT,10,A,3,18-24,Male,Yes,5,2,1,7,7,7,1,7,
2018/06/11 5:48:46 PM MDT,10,B,3,18-24,Male,Yes,5,1,1,1,7,7,1,7,
2018/06/11 6:05:49 PM MDT,11,B,0,18-24,Female,Yes,5,3,6,2,2,2,,,
2018/06/11 6:08:54 PM MDT,11,A,0,18-24,Female,Yes,6,2,6,2,2,2,,,
2018/06/11 6:13:32 PM MDT,11,B,1,18-24,Female,Yes,2,6,2,6,3,2,5,5,
2018/06/11 6:16:47 PM MDT,11,A,1,18-24,Female,Yes,1,7,1,7,7,2,2,6,
2018/06/11 6:21:16 PM MDT,11,B,2,18-24,Female,Yes,6,1,6,1,2,2,,,
2018/06/11 6:24:17 PM MDT,11,A,2,18-24,Female,Yes,6,1,6,1,2,1,,,
2018/06/11 6:28:01 PM MDT,11,B,3,18-24,Female,Yes,2,6,2,6,2,2,5,2,
2018/06/11 6:30:42 PM MDT,11,A,3,18-24,Female,Yes,1,7,1,7,7,2,2,6,
